交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/04,CBO,201906  ,24.0000,買權,0.32,0.32,0.32,0.32,5,0.32,19,-,-,1.09,0.3,,一般,
2019/06/13,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.03,15,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.01,15,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.05,15,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.04,15,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.09,15,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.1,15,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.01,15,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.01,15,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.01,15,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0,15,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.16,15,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,24.0000,賣權,-,-,-,-,0,0.18,15,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,24.5000,買權,-,-,-,-,0,0,34,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,24.5000,買權,0.06,0.06,0.06,0.06,10,0.1,34,-,-,0.71,0.06,,一般,
2019/06/14,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.14,25,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.14,34,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.12,20,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,24.5000,買權,0.1,0.1,0.1,0.1,5,0.13,25,0.09,0.15,0.71,0.1,,一般,
2019/06/11,CBO,201906  ,24.5000,買權,-,-,-,-,0,0.12,25,-,-,-,-,,一般,
